"Plot","focal","Species","status","heterospecific_density","conspecific_density","quantile","SES_range_overlap","initial_size","first_trait_axis","second_trait_axis"
"4_11",42221,"BETALL",1,-0.937237216558853,-0.255380861546457,0.470703977866998,0.0453059206576812,-0.208636376758943,-0.102633610648225,0.562809910818341
"4_11",42222,"ACESUG",1,-1.08713522920262,0.227870873094227,0.641868949316575,0.0148094840464347,-1.50007688029832,0.84580763438271,0.342546589300262
"4_11",42223,"ACESUG",1,-1.45947024365118,0.357025265297618,0.641868949316575,0.00536596954789844,-0.701569184080548,0.84580763438271,0.342546589300262
"4_11",42224,"ACESUG",1,-1.22944917224523,0.375449654151582,0.641868949316575,0.00957111508763046,-1.98250302954261,0.84580763438271,0.342546589300262
"4_11",42225,"ACESUG",1,0.0321799494460191,0.508277792482978,0.641868949316575,0.0316402422320939,-2.35840933540923,0.84580763438271,0.342546589300262
"4_11",42226,"ACESUG",1,-1.14922984073652,0.749485404936524,0.641868949316575,0.0118494055326406,-2.03029369337896,0.84580763438271,0.342546589300262
"4_11",42227,"ACESUG",1,-0.827928434522381,0.398355610292208,0.641868949316575,0.0287797633617248,-0.718376302396929,0.84580763438271,0.342546589300262
"4_11",42230,"ACESUG",1,-0.808621422782376,0.375703134376913,0.641868949316575,0.0200310915289448,1.16994805194435,0.84580763438271,0.342546589300262
"4_11",42233,"ACESUG",1,-0.753092586190884,0.394774204000512,0.641868949316575,0.0175529793003782,-2.27463945234377,0.84580763438271,0.342546589300262
"4_11",42234,"TILAME",1,-0.775065037418516,0.217907740967773,0.448515641513963,0.0257536668429803,0.299621956788085,2.15673201838104,2.53068159644322
"4_11",42235,"ACESUG",1,0.0676104346784049,0.712970930550604,0.641868949316575,0.0291973323277041,-1.88719284973829,0.84580763438271,0.342546589300262
"4_11",42236,"ACESUG",1,0.405680490459826,0.133371542201057,0.641868949316575,0.0407695695322551,0.643131279740505,0.84580763438271,0.342546589300262
"4_11",42239,"TILAME",1,-0.490354647610869,0.0710423374573072,0.448515641513963,0.0270303736724485,0.0823435249262729,2.15673201838104,2.53068159644322
"4_11",42240,"ACESUG",0,0.246210937829701,0.896572598716224,0.641868949316575,0.0349586890537247,0.13455537570853,0.84580763438271,0.342546589300262
"4_11",42241,"ACESUG",1,-1.40838878063342,0.914465128860378,0.641868949316575,0.0132385128452333,1.08026464534754,0.84580763438271,0.342546589300262
"4_11",42242,"ACESUG",1,-1.91490606834833,0.953110714874469,0.641868949316575,0.00881309886395396,1.07118363727193,0.84580763438271,0.342546589300262
"4_12",42401,"ACESUG",1,-1.16839384691312,0.0580953271215807,0.641868949316575,0.000755818513791156,1.16737992383864,0.84580763438271,0.342546589300262
"4_12",42402,"ACESUG",0,-1.09602252990837,0.732848299484666,0.641868949316575,0.00800525714844532,-1.00668631835443,0.84580763438271,0.342546589300262
"4_12",42403,"ACESUG",1,-1.02947001130272,0.508306314346622,0.641868949316575,0.00703910902466301,-0.613015786739103,0.84580763438271,0.342546589300262
"4_12",42406,"ACESUG",0,-0.778998361944817,0.915346316888311,0.641868949316575,0.013515099917535,-1.12384141050509,0.84580763438271,0.342546589300262
"4_12",42407,"ACESUG",1,-1.20637894180997,0.352690885099921,0.641868949316575,0.0120845847640958,1.11096073250471,0.84580763438271,0.342546589300262
"4_12",42408,"ACESUG",1,-0.971204332477314,0.451905809686378,0.641868949316575,0.00986855706867751,-0.670573083711584,0.84580763438271,0.342546589300262
"4_12",42409,"TILAME",1,-0.613928872287733,-3.15524656490077,0.448515641513963,0.0282264539343795,-0.154045253137957,2.15673201838104,2.53068159644322
"4_12",42410,"ACESUG",1,-1.13410981187108,1.24269356968983,0.641868949316575,0.00336290592130398,-0.915496080289834,0.84580763438271,0.342546589300262
"4_12",42411,"ACESUG",1,-1.31659913172891,0.478470806188692,0.641868949316575,0.00617311424664002,0.924398030304762,0.84580763438271,0.342546589300262
"4_12",42414,"TILAME",1,0.936232647244807,-0.57459954721914,0.448515641513963,0.0502544836958781,0.138140551159967,2.15673201838104,2.53068159644322
"4_12",42415,"ACESUG",1,0.787622510414541,0.90117470511526,0.641868949316575,0.0375225394438869,0.520570924200837,0.84580763438271,0.342546589300262
"4_12",42416,"ACESUG",1,2.97608780159809,0.894358514138373,0.641868949316575,0.0741957301813916,0.456359681743981,0.84580763438271,0.342546589300262
"4_12",42418,"ACESUG",1,1.33066474780837,0.380696351276652,0.641868949316575,0.0277464260796665,0.258206659733346,0.84580763438271,0.342546589300262
"4_12",42419,"TILAME",1,0.247751382526878,0.720785629924669,0.448515641513963,0.0286953113985286,-0.00347239465858262,2.15673201838104,2.53068159644322
"4_12",42420,"ACESUG",1,-0.133805063763668,0.74293764405326,0.641868949316575,0.0201155438513387,-1.33017784350292,0.84580763438271,0.342546589300262
"4_12",42421,"ACESUG",1,0.121551791614477,0.45771749660102,0.641868949316575,0.0237728878198224,-0.374399340121649,0.84580763438271,0.342546589300262
"4_12",42422,"TILAME",1,-0.786235050208921,0.462160117950648,0.448515641513963,0.0190507896225436,0.270374870663906,2.15673201838104,2.53068159644322
"4_12",42423,"ACESUG",1,-0.586408173067343,1.28564000787718,0.641868949316575,0.00266009188406444,-0.866269139524684,0.84580763438271,0.342546589300262
"4_12",42424,"ACESUG",1,-0.381310811000656,0.561883258329327,0.641868949316575,0.0205050618627634,0.377721842897848,0.84580763438271,0.342546589300262
"4_12",42427,"ACESUG",1,-1.68205532793023,0.58756589584982,0.641868949316575,0.00717687759542925,0.929847635072327,0.84580763438271,0.342546589300262
"4_12",42429,"TILAME",1,-0.496565626784287,0.248362843004059,0.448515641513963,0.0329135681046311,0.277015402159171,2.15673201838104,2.53068159644322
"4_13",42601,"OSTVIR",1,0.480575730173176,-0.965981109774121,1.02860673337211,0.0269008193700209,0.305397191780715,1.87914808869575,0.189957649334784
"4_13",42602,"FRAAME",1,-0.413506380133884,-0.284242879516967,1.01845960037142,0.00335981717554065,-0.682752451530237,1.15135765188855,0.986380914324728
"4_13",42603,"FRAAME",1,-0.45335841433071,-0.592372641805316,1.01845960037142,0.0027648889216429,-0.231885687642793,1.15135765188855,0.986380914324728
"4_13",42607,"FRAAME",1,-0.895270036611085,-0.143412683181623,1.01845960037142,0.00101817414727441,-1.06192686440668,1.15135765188855,0.986380914324728
"4_13",42608,"OSTVIR",1,-0.627452587756414,-0.703270685553353,1.02860673337211,0.0179457965647322,0.646323778751309,1.87914808869575,0.189957649334784
"4_13",42609,"OSTVIR",0,-0.65963781130927,0.515039829889655,1.02860673337211,0.0153142184463251,-1.04007517481892,1.87914808869575,0.189957649334784
"4_13",42610,"OSTVIR",1,0.249171720719276,-0.309262864635084,1.02860673337211,0.0197904898423102,-0.0104557576377617,1.87914808869575,0.189957649334784
"4_13",42611,"TILAME",1,-1.11665032394296,-0.418741182460484,0.448515641513963,0.0206708478354611,0.290759269530239,2.15673201838104,2.53068159644322
"4_13",42612,"OSTVIR",1,0.0134826866868988,-0.692827826970653,1.02860673337211,0.0116200752979212,0.618152901784613,1.87914808869575,0.189957649334784
"4_13",42613,"ACESUG",1,-1.54007695700567,1.21744824740894,0.641868949316575,0.0172170860484842,-0.409729101480104,0.84580763438271,0.342546589300262
"4_13",42614,"OSTVIR",1,0.247650383564638,-0.15470541996609,1.02860673337211,0.00189805230202673,0.35120672781201,1.87914808869575,0.189957649334784
"4_13",42615,"OSTVIR",1,0.297271224632154,-0.0538269591586101,1.02860673337211,0.0064415236978251,0.338690919880179,1.87914808869575,0.189957649334784
"4_13",42616,"ACESUG",1,-1.20624380809989,0.505222886483097,0.641868949316575,0.0162719822682004,1.06487247716322,0.84580763438271,0.342546589300262
"4_13",42617,"ACESUG",1,-1.28005890890452,0.524721298245755,0.641868949316575,0.0143443838831511,0.939941448241546,0.84580763438271,0.342546589300262
"4_13",42623,"FRAAME",1,-1.04564179649871,-0.0675808570037986,1.01845960037142,0.00023081647585715,-1.04412223977318,1.15135765188855,0.986380914324728
"4_13",42625,"OSTVIR",1,-0.434140964205205,-0.676464622142433,1.02860673337211,0.0160318429896805,0.432396882542023,1.87914808869575,0.189957649334784
"4_13",42626,"FRAAME",1,-0.755800241225968,-0.152640268199253,1.01845960037142,0.0109994125229976,-1.18270840305932,1.15135765188855,0.986380914324728
